round_epochs,loss,mean_squared_error,mean_absolute_error,root_mean_squared_error,val_loss,val_mean_squared_error,val_mean_absolute_error,val_root_mean_squared_error,lr,epochs,optimizer,output_activation,loss,batch_size
30,118.2138442993164,115.73641967773438,8.127119064331055,10.758086204528809,195.29478454589844,182.16427612304688,9.377379417419434,13.496824264526367,0.005,30,<class 'keras.src.optimizers.adam.Adam'>,linear,MeanSquaredError,4
30,109.9493408203125,108.66288757324219,7.820201396942139,10.424149513244629,226.40817260742188,215.09030151367188,11.088846206665039,14.6659574508667,0.005,30,<class 'keras.src.optimizers.adam.Adam'>,<keras.src.layers.activation.relu.ReLU object at 0x7cc0706d24d0>,MeanSquaredError,4
30,52.142738342285156,52.142738342285156,3.8815410137176514,7.220992565155029,68.50733947753906,68.50733947753906,4.258230686187744,8.276915550231934,0.005,30,<class 'keras.src.optimizers.adam.Adam'>,sigmoid,MeanSquaredError,4
30,52.684627532958984,52.684627532958984,3.90800404548645,7.25841760635376,72.19039916992188,72.19039916992188,4.4448981285095215,8.496493339538574,0.005,30,<class 'keras.src.optimizers.adam.Adam'>,tanh,MeanSquaredError,4
30,7123.35791015625,7123.3583984375,81.09117889404297,84.39998626708984,7304.16552734375,7304.1650390625,82.33689880371094,85.46440887451172,0.005,30,<class 'keras.src.optimizers.adam.Adam'>,softmax,MeanSquaredError,4
