round_epochs,loss,mean_squared_error,mean_absolute_error,root_mean_squared_error,val_loss,val_mean_squared_error,val_mean_absolute_error,val_root_mean_squared_error,lr,y_smoothing,epochs,optimizer,lossfunc,batch_size
30,37.395145416259766,1583.393798828125,37.416847229003906,39.7918815612793,35.83483123779297,1497.2110595703125,35.82542419433594,38.693809509277344,0.0001,20,30,<class 'keras.src.optimizers.adam.Adam'>,MeanAbsoluteError,4
30,1573.31494140625,1560.906982421875,37.696144104003906,39.50831604003906,1455.9085693359375,1470.578369140625,35.65879440307617,38.348121643066406,0.0001,20,30,<class 'keras.src.optimizers.adam.Adam'>,MeanSquaredError,4
30,43.2027587890625,2002.3763427734375,43.056640625,44.74791717529297,42.21794891357422,1966.1845703125,42.171226501464844,44.341678619384766,0.0001,20,30,<class 'keras.src.optimizers.adagrad.Adagrad'>,MeanAbsoluteError,4
30,1946.3902587890625,1931.048583984375,42.268375396728516,43.94369888305664,1866.962158203125,1859.84619140625,40.88825988769531,43.12593460083008,0.0001,20,30,<class 'keras.src.optimizers.adagrad.Adagrad'>,MeanSquaredError,4
30,39.16983413696289,1705.7991943359375,39.1487922668457,41.30132293701172,38.47723388671875,1685.05224609375,38.32695007324219,41.04938888549805,0.0001,20,30,<class 'keras.src.optimizers.rmsprop.RMSprop'>,MeanAbsoluteError,4
30,1610.598876953125,1602.0399169921875,38.19609832763672,40.025489807128906,1520.58642578125,1522.3499755859375,36.50614929199219,39.017303466796875,0.0001,20,30,<class 'keras.src.optimizers.rmsprop.RMSprop'>,MeanSquaredError,4
30,42.5854377746582,1958.5364990234375,42.58300018310547,44.25535583496094,41.737464904785156,1921.39404296875,41.726829528808594,43.833709716796875,0.0001,20,30,<class 'keras.src.optimizers.sgd.SGD'>,MeanAbsoluteError,4
30,115.30119323730469,114.0562744140625,7.842235088348389,10.679713249206543,162.39309692382812,160.13377380371094,9.359899520874023,12.654397010803223,0.0001,20,30,<class 'keras.src.optimizers.sgd.SGD'>,MeanSquaredError,4
30,11.145076751708984,343.06036376953125,11.147202491760254,18.521888732910156,20.61642837524414,570.072021484375,20.694215774536133,23.87618064880371,0.001,20,30,<class 'keras.src.optimizers.adam.Adam'>,MeanAbsoluteError,4
30,240.0308837890625,238.74412536621094,11.099409103393555,15.451346397399902,534.8145141601562,527.1824340820312,19.3961238861084,22.9604549407959,0.001,20,30,<class 'keras.src.optimizers.adam.Adam'>,MeanSquaredError,4
30,38.97958755493164,1693.1956787109375,38.882659912109375,41.148460388183594,37.85327911376953,1655.7728271484375,37.846988677978516,40.69118881225586,0.001,20,30,<class 'keras.src.optimizers.adagrad.Adagrad'>,MeanAbsoluteError,4
30,1667.7877197265625,1659.411865234375,38.78968048095703,40.735877990722656,1551.927001953125,1556.3192138671875,36.871665954589844,39.45021057128906,0.001,20,30,<class 'keras.src.optimizers.adagrad.Adagrad'>,MeanSquaredError,4
30,11.348677635192871,318.1833190917969,11.299299240112305,17.83769416809082,20.707014083862305,621.4462280273438,20.67357063293457,24.928823471069336,0.001,20,30,<class 'keras.src.optimizers.rmsprop.RMSprop'>,MeanAbsoluteError,4
30,219.98751831054688,218.33164978027344,10.157197952270508,14.776049613952637,680.2288818359375,676.0867309570312,23.296464920043945,26.001667022705078,0.001,20,30,<class 'keras.src.optimizers.rmsprop.RMSprop'>,MeanSquaredError,4
30,34.654483795166016,1449.8472900390625,34.699806213378906,38.07685852050781,34.70812225341797,1481.245361328125,34.36942672729492,38.4869499206543,0.001,20,30,<class 'keras.src.optimizers.sgd.SGD'>,MeanAbsoluteError,4
30,95.99948120117188,95.59681701660156,7.3444976806640625,9.777361869812012,169.13034057617188,165.00369262695312,9.674665451049805,12.845376014709473,0.001,20,30,<class 'keras.src.optimizers.sgd.SGD'>,MeanSquaredError,4
30,7.3651251792907715,101.79595947265625,7.234819412231445,10.089398384094238,11.036225318908691,197.3572998046875,10.903328895568848,14.048391342163086,0.01,20,30,<class 'keras.src.optimizers.adam.Adam'>,MeanAbsoluteError,4
30,97.74137878417969,96.26477813720703,7.371448040008545,9.811461448669434,152.13980102539062,147.7169952392578,8.754889488220215,12.153888702392578,0.01,20,30,<class 'keras.src.optimizers.adam.Adam'>,MeanSquaredError,4
30,15.895806312561035,574.050048828125,15.77505111694336,23.959341049194336,13.051797866821289,439.991455078125,13.20129108428955,20.97597312927246,0.01,20,30,<class 'keras.src.optimizers.adagrad.Adagrad'>,MeanAbsoluteError,4
30,486.16705322265625,485.36065673828125,17.507545471191406,22.030900955200195,451.47100830078125,441.5793151855469,15.493416786193848,21.0137882232666,0.01,20,30,<class 'keras.src.optimizers.adagrad.Adagrad'>,MeanSquaredError,4
30,7.256035804748535,102.23737335205078,7.248688697814941,10.111249923706055,36.997215270996094,1506.6854248046875,36.868648529052734,38.816043853759766,0.01,20,30,<class 'keras.src.optimizers.rmsprop.RMSprop'>,MeanAbsoluteError,4
30,85.39509582519531,86.792236328125,6.967984199523926,9.316235542297363,151.43927001953125,146.11717224121094,8.576635360717773,12.08789348602295,0.01,20,30,<class 'keras.src.optimizers.rmsprop.RMSprop'>,MeanSquaredError,4
30,7.745365619659424,118.75432586669922,7.649519920349121,10.897445678710938,9.701475143432617,176.1162567138672,9.592023849487305,13.270879745483398,0.01,20,30,<class 'keras.src.optimizers.sgd.SGD'>,MeanAbsoluteError,4
30,129.68284606933594,128.29916381835938,8.844191551208496,11.326921463012695,224.7467498779297,220.3621063232422,11.676285743713379,14.844597816467285,0.01,20,30,<class 'keras.src.optimizers.sgd.SGD'>,MeanSquaredError,4
