,SNUADC/ART,SNUADC/ECG_II,Solar8000/ART_DBP,Solar8000/ART_MBP,Solar8000/ART_SBP,Solar8000/ETCO2,Solar8000/FEO2,Solar8000/FIO2,Solar8000/HR,Solar8000/INCO2,Solar8000/NIBP_DBP,Solar8000/NIBP_MBP,Solar8000/NIBP_SBP,Solar8000/PLETH_SPO2,Solar8000/RR_CO2,Primus/CO2,Primus/ETCO2,Primus/FEO2,Primus/FIO2,Primus/INCO2,Primus/MV,Primus/TV,Orchestra/PPF20_CE,Orchestra/PPF20_CP,Orchestra/PPF20_CT,Orchestra/PPF20_RATE,Orchestra/PPF20_VOL,Orchestra/RFTN20_CE,Orchestra/RFTN20_CP,Orchestra/RFTN20_CT,Orchestra/RFTN20_RATE,Orchestra/RFTN20_VOL,BIS/BIS
1676,0.0,0.0,0.02952029520295203,0.0002050020500205002,0.02911029110291103,0.03341533415334153,0.03341533415334153,0.03341533415334153,0.022960229602296024,0.03341533415334153,0.9171791717917179,0.9171791717917179,0.9171791717917179,0.0014350143501435015,0.06416564165641657,0.00017056170561705617,0.040889526542324243,0.040889526542324243,0.040889526542324243,0.040889526542324243,0.06384505021520803,0.07173601147776183,0.0042025420254202545,0.0042025420254202545,0.004100041000410004,0.004305043050430504,0.004305043050430504,0.003997539975399754,0.004100041000410004,0.003895038950389504,0.004100041000410004,0.004100041000410004,0.015272652726527265
5669,0.013416829978027199,0.013416829978027199,0.41852731591448933,0.4007125890736342,0.4184085510688836,0.4157957244655582,0.4157957244655582,0.4157957244655582,0.4009501187648456,0.4157957244655582,0.8243467933491686,0.8243467933491686,0.8243467933491686,0.4007125890736342,0.4184085510688836,0.013676815166309085,0.0399002493765586,0.0399002493765586,0.0399002493765586,0.0399002493765586,0.0399002493765586,0.04197838736492103,0.01894411782172338,0.01894411782172338,0.01894411782172338,0.01888473187243898,0.01888473187243898,0.01882534592315458,0.01882534592315458,0.01882534592315458,0.01888473187243898,0.01894411782172338,0.013421224538274244
1319,0.0016892234964545215,0.0016892234964545215,0.014180672268907563,0.0021008403361344537,0.014180672268907563,0.015581232492997199,0.015581232492997199,0.015581232492997199,0.004901960784313725,0.015581232492997199,0.7652310924369747,0.7652310924369747,0.7652310924369747,0.0031512605042016808,0.03483893557422969,0.002092618686776723,0.026348039215686275,0.026348039215686275,0.026348039215686275,0.026348039215686275,0.03860294117647059,0.044730392156862746,0.006478158102074761,0.006478158102074761,0.006478158102074761,0.006478158102074761,0.006565700779129826,0.006565700779129826,0.00665324345618489,0.006565700779129826,0.00665324345618489,0.00665324345618489,0.011205462663048235
4609,0.0015937248932301577,0.0015937248932301577,0.016405919661733614,0.00507399577167019,0.016405919661733614,0.023847780126849894,0.0239323467230444,0.0239323467230444,0.004989429175475687,0.0239323467230444,0.7764059196617337,0.7404651162790697,0.7764059196617337,0.004312896405919662,0.029513742071881607,0.004594526755625437,0.02456348031962119,0.02456348031962119,0.02456348031962119,0.02456348031962119,0.029002663509914175,0.029002663509914175,0.014123218740750138,0.014123218740750138,0.014123218740750138,0.014123218740750138,0.014123218740750138,0.014080933654699987,0.014080933654699987,0.014080933654699987,0.014123218740750138,0.014038648568649836,0.009556429447333925
2435,0.0018441686367218282,0.0018441686367218282,0.02009456264775414,0.004137115839243499,0.02009456264775414,0.004137115839243499,0.004137115839243499,0.004137115839243499,0.01004728132387707,0.004137115839243499,0.5841213553979512,0.5841213553979512,0.5841213553979512,0.007880220646178092,0.050236406619385346,0.002351457840819543,0.028256374913852515,0.028256374913852515,0.028256374913852515,0.028256374913852515,0.06891798759476224,0.07443142660234321,0.0128053585500394,0.0128053585500394,0.0128053585500394,0.012706855791962174,0.012706855791962174,0.013199369582348306,0.01310086682427108,0.013199369582348306,0.012903861308116627,0.013002364066193853,0.008668242710795903
3967,0.0,0.0,0.03012208067940552,0.004113588110403397,0.029193205944798302,0.05307855626326964,0.05307855626326964,0.05307855626326964,0.004113588110403397,0.05307855626326964,0.9840764331210191,0.9779723991507431,0.9840764331210191,0.003980891719745223,0.05918259023354565,0.0025201698513800425,0.01532033426183844,0.01532033426183844,0.01532033426183844,0.01532033426183844,0.019962859795728878,0.02274837511606314,0.013866772823779194,0.013866772823779194,0.013866772823779194,0.013866772823779194,0.013866772823779194,0.013866772823779194,0.013866772823779194,0.013866772823779194,0.013866772823779194,0.013866772823779194,0.008492569002123142
4880,1.3223913853154027e-05,1.3223913853154027e-05,0.02440021810250818,0.01608505997818975,0.02440021810250818,0.12295528898582334,0.12295528898582334,0.12295528898582334,0.0057251908396946565,0.12295528898582334,0.6153217011995638,0.6153217011995638,0.6153217011995638,0.0012268266085059978,0.12881679389312978,0.004331988221180063,0.1273854961832061,0.1273854961832061,0.1273854961832061,0.1273854961832061,0.129293893129771,0.13501908396946566,0.7741121941244632,0.7741121941244632,0.7741121941244632,0.7741121941244632,0.7741121941244632,0.7740440324449595,0.7741121941244632,0.7740440324449595,0.7741121941244632,0.7741121941244632,0.008315724899461523
5274,0.0014498255861117872,0.0014498255861117872,0.03163530175210902,0.0024334847501622323,0.03147306943543154,0.0029201817001946787,0.0029201817001946787,0.0029201817001946787,0.02855288773523686,0.0029201817001946787,0.8939000648929266,0.8939000648929266,0.8939000648929266,0.028066190785204413,0.011194029850746268,0.005974523582689327,0.019307211811470756,0.019307211811470756,0.019307211811470756,0.019307211811470756,0.02668938103350369,0.02668938103350369,0.17619858846434655,0.17627971120305022,0.17619858846434655,0.17627971120305022,0.17627971120305022,0.1761174657256429,0.17619858846434655,0.17619858846434655,0.17619858846434655,0.1761174657256429,0.00770666017684757
5855,0.005588123127213293,0.005588123127213293,1.0,1.0,1.0,0.028874965949332608,0.028874965949332608,0.028874965949332608,0.10296921819667665,0.028874965949332608,0.04304004358485426,0.04304004358485426,0.04304004358485426,0.008989376191773358,0.03078180332334514,0.005880686461454645,0.04003813155386082,0.04003813155386082,0.04003813155386082,0.04003813155386082,0.04003813155386082,0.04051477597712107,0.7601470988831381,0.7601470988831381,0.7601470988831381,0.7601470988831381,0.7601470988831381,0.7599427948787796,0.7599427948787796,0.7599427948787796,0.7599427948787796,0.7599427948787796,0.006946336148188505
4567,0.0027516679021497405,0.0027516679021497405,1.0,1.0,1.0,0.062259116513489476,0.062259116513489476,0.062259116513489476,0.003261191817373258,0.062259116513489476,0.023421286688407945,0.0035576638007708272,0.023421286688407945,0.003261191817373258,0.062259116513489476,0.0031027390923776517,0.0031120331950207467,0.0031120331950207467,0.0031120331950207467,0.0031120331950207467,0.00933609958506224,0.015560165975103735,0.008747220163083765,0.008747220163083765,0.008747220163083765,0.008747220163083765,0.008747220163083765,0.008598962194217939,0.008598962194217939,0.008450704225352112,0.008598962194217939,0.008598962194217939,0.006226834692364715
