,Solar8000/ART_DBP,Solar8000/ART_MBP,Solar8000/ART_SBP,Solar8000/HR,Solar8000/PLETH_SPO2,Primus/ETCO2,Orchestra/PPF20_RATE,BIS/BIS
563,0.22041420118343194,0.1881656804733728,0.22011834319526627,0.16449704142011834,0.09230769230769231,0.18426501035196688,0.37490753069980765,0.0005918035212309513
578,0.9514806378132118,0.9514806378132118,0.9514806378132118,0.07061503416856492,0.05261958997722096,0.054183266932270914,0.05797266514806378,0.0003416856492027335
582,0.10423971947720752,0.09148868345553077,0.10423971947720752,0.04877271278291361,0.038412496015301244,0.09369771332961517,0.042002072208496055,0.0002391009803140193
584,0.02451132485262178,0.003102699348433137,0.02451132485262178,0.01520322680732237,0.006619091943324025,0.00760043431053203,0.005533147171372427,0.0011376564277588168
629,0.05730239978727648,0.03902147178089477,0.05730239978727648,0.020341687163464735,0.02153825699660972,0.05677059097254537,0.026956955293335548,0.0
631,0.01740041928721174,0.003459119496855346,0.01740041928721174,0.16268343815513628,0.029979035639413,0.019075568598679385,0.009538784067085955,0.0012054507337526206
636,0.08136938724882163,0.05408087323244853,0.07988092284792855,0.12205408087323245,0.07144629124286778,0.0798611111111111,0.14351277598610768,0.0023567353014140413
645,0.08183856502242152,0.05754857997010463,0.08183856502242152,0.10426008968609865,0.04204035874439462,0.1301504251144539,0.048304213771839674,0.0002802952443240213
659,0.13189326556543837,0.11461245235069886,0.13189326556543837,0.04371029224904702,0.045362134688691234,0.16184971098265896,0.79369718533579,0.0012071923247982718
663,0.14688284115035707,0.12179116000772051,0.14630380235475776,0.058289905423663385,0.05848291835552982,0.12559081701553004,0.06881575137534987,0.00038606312132033585
672,0.06337290502793295,0.0490572625698324,0.06337290502793295,0.05254888268156425,0.04591480446927374,0.05253512522907758,0.1003840782122905,0.00017458100558659218
684,0.06433463796477495,0.0437866927592955,0.06409001956947162,0.09442270058708414,0.04647749510763209,0.05051369863013699,0.06666666666666667,0.00024464831804281347
726,0.14516129032258066,0.11290322580645161,0.14437450826121165,0.2464594807238395,0.13257277734067663,0.16173434273916035,0.1865656963021243,0.06490952006294257
729,0.050215982721382287,0.03253239740820734,0.050215982721382287,0.07181425485961124,0.04427645788336933,0.03259329239489844,0.08734390820114749,0.00020249746878164024
740,0.07339449541284404,0.06596767147225863,0.07317605941459153,0.06596767147225863,0.04783748361730013,0.06192660550458716,0.012560069899519442,0.0
747,0.1290594685786588,0.0641079713201181,0.12779417967102488,0.12695065373260228,0.10881484605651624,0.11504424778761062,0.21641004007593334,0.0002109259649862898
781,0.0877044557247603,0.07445008460236886,0.0877044557247603,0.08798646362098139,0.07473209249858996,0.09180651530108588,0.09096037230291919,0.0031025243266111975
