,Solar8000/ART_DBP,Solar8000/ART_MBP,Solar8000/ART_SBP,Solar8000/ETCO2,Solar8000/FEO2,Solar8000/FIO2,Solar8000/HR,Solar8000/INCO2,Solar8000/NIBP_DBP,Solar8000/NIBP_MBP,Solar8000/NIBP_SBP,Solar8000/PLETH_SPO2,Solar8000/RR_CO2,Primus/CO2,Primus/ETCO2,Primus/EXP_SEVO,Primus/FEO2,Primus/FIO2,Primus/INCO2,Primus/INSP_SEVO,Primus/MAC,Primus/MAWP_MBAR,Primus/MV,Primus/TV,Orchestra/RFTN20_CE,Orchestra/RFTN20_CP,Orchestra/RFTN20_CT,Orchestra/RFTN20_RATE,Orchestra/RFTN20_VOL,BIS/BIS
5759,0.01788036410923277,0.004388816644993498,0.01788036410923277,0.004713914174252275,0.004713914174252275,0.004713914174252275,0.004388816644993498,0.004713914174252275,0.6563719115734721,0.6563719115734721,0.6563719115734721,0.003250975292587776,0.010565669700910272,5.982027907460629e-05,0.030147895335608646,0.026734926052332197,0.030147895335608646,0.030147895335608646,0.030147895335608646,0.026734926052332197,0.030147895335608646,0.030716723549488054,0.0335608646188851,0.0335608646188851,0.0046326397919375815,0.0046326397919375815,0.0046326397919375815,0.004470091027308193,0.004470091027308193,0.033810143042912875
939,0.01738197424892704,0.002575107296137339,0.01738197424892704,0.04141630901287554,0.04141630901287554,0.04141630901287554,0.003218884120171674,0.04141630901287554,0.6824034334763949,0.6824034334763949,0.6824034334763949,0.06824034334763948,0.051716738197424894,0.0047520210682090135,0.05780780780780781,0.01951951951951952,0.05780780780780781,0.05780780780780781,0.05780780780780781,0.01951951951951952,0.05780780780780781,0.057057057057057055,0.05855855855855856,0.06456456456456457,0.06738197424892704,0.06738197424892704,0.06748927038626609,0.06727467811158798,0.06727467811158798,0.0024678111587982834
5872,0.02421344848858729,0.0011566933991363356,0.02421344848858729,0.020357803824799507,0.020434916718075263,0.020434916718075263,0.00107958050586058,0.020357803824799507,0.7023442319555829,0.7023442319555829,0.7023442319555829,0.0014651449722393585,0.024676125848241828,0.0008396233108056004,0.05018888289260658,0.03750674581759309,0.05018888289260658,0.05018888289260658,0.05018888289260658,0.03750674581759309,0.0496492174851592,0.04937938478143551,0.049919050188882895,0.052347544522396115,0.00520512029611351,0.005243676742751388,0.005166563849475632,0.00520512029611351,0.00520512029611351,0.0007325724861196793
5089,0.012465719272001994,0.002119172276240339,0.012465719272001994,0.011468461730241835,0.011468461730241835,0.011468461730241835,0.002119172276240339,0.011468461730241835,0.7013213662428323,0.7014460234355522,0.7013213662428323,0.002368486661680379,0.017576664173522813,0.0038528285326737415,0.03795811518324607,0.029232111692844676,0.03795811518324607,0.03795811518324607,0.03795811518324607,0.029232111692844676,0.03795811518324607,0.037521815008726006,0.039703315881326355,0.04232111692844677,0.00598391821978433,0.00598391821978433,0.005921585738328243,0.00598391821978433,0.00598391821978433,0.001558312036402169
1187,0.014277555682467162,0.001142204454597373,0.014277555682467162,0.0008566533409480297,0.0008566533409480297,0.0008566533409480297,0.001142204454597373,0.0008566533409480297,0.6741861793260994,0.6627641347801256,0.6741861793260994,0.001142204454597373,0.005139920045688178,0.0,0.02197802197802198,0.05094905094905095,0.02197802197802198,0.02197802197802198,0.02197802197802198,0.05094905094905095,0.02197802197802198,0.022977022977022976,0.026973026973026972,0.026973026973026972,0.004141082393260031,0.003998286448664858,0.004141082393260031,0.003998286448664858,0.003998286448664858,0.000285591889190347
3620,0.02164179104477612,0.009203980099502488,0.02164179104477612,0.008706467661691543,0.008706467661691543,0.008706467661691543,0.009203980099502488,0.008706467661691543,0.9860696517412936,0.9860696517412936,0.9860696517412936,0.04079601990049751,0.00945273631840796,0.0026493994561863775,0.022628372497824196,0.020887728459530026,0.022628372497824196,0.022628372497824196,0.022628372497824196,0.020887728459530026,0.022628372497824196,0.022628372497824196,0.022628372497824196,0.02349869451697128,0.13048886677447444,0.13048886677447444,0.13048886677447444,0.13036447319318323,0.13036447319318323,0.0027366587884065183
5500,0.024513022543226088,0.003064127817903261,0.024513022543226088,0.06565988181221274,0.06565988181221274,0.06565988181221274,0.003064127817903261,0.06565988181221274,0.6246443423068505,0.6246443423068505,0.6246443423068505,0.003064127817903261,0.07463339899321514,0.002523554341354068,0.09188361408882083,0.03139356814701378,0.09188361408882083,0.09188361408882083,0.09188361408882083,0.03139356814701378,0.09188361408882083,0.09188361408882083,0.09341500765696784,0.1003062787136294,0.0620553792273175,0.061945934114041805,0.0620553792273175,0.06117981832111196,0.06117981832111196,0.0024077924920652295
2354,0.019402797026584352,0.0026458359581705932,0.019402797026584352,0.0017638906387803957,0.0018898828272647095,0.0018898828272647095,0.0026458359581705932,0.0017638906387803957,0.943429507370543,0.943429507370543,0.943429507370543,0.004283734408466675,0.0035277812775607914,7.056152864495656e-06,0.029541446208112873,0.029541446208112873,0.029541446208112873,0.029541446208112873,0.029541446208112873,0.029541446208112873,0.029541446208112873,0.029982363315696647,0.03042328042328042,0.030864197530864196,0.03622503622503623,0.03622503622503623,0.03622503622503623,0.03622503622503623,0.03622503622503623,0.000252000252000252
1819,0.030055817947617004,0.0024330900243309003,0.0299126950050093,0.0024330900243309003,0.0024330900243309003,0.0024330900243309003,0.0022899670817232,0.0024330900243309003,0.5206812652068127,0.5205381422642049,0.5206812652068127,0.0032918276799771004,0.011592958351223702,4.924128343397259e-05,0.026039058587881823,0.026539809714571858,0.026039058587881823,0.026039058587881823,0.026039058587881823,0.026539809714571858,0.026039058587881823,0.026039058587881823,0.03355032548823235,0.03405107661492238,0.09575610105202892,0.09582766764474343,0.09575610105202892,0.09597080083017248,0.09597080083017248,7.156659271452087e-05
1732,0.01963952765692977,0.0019888129272840273,0.019266625233064015,0.05804847731510255,0.05804847731510255,0.05804847731510255,0.01901802361715351,0.05804847731510255,0.745183343691734,0.745183343691734,0.745183343691734,0.019266625233064015,0.060534493474207585,4.873182874640851e-05,0.08003479773814702,0.08525445846020009,0.08003479773814702,0.08003479773814702,0.08003479773814702,0.08525445846020009,0.08003479773814702,0.07959982601130927,0.07959982601130927,0.08177468464549804,0.00857728883087824,0.008639443097768661,0.00857728883087824,0.008639443097768661,0.008639443097768661,6.215426689042202e-05
